Rv0001	314	420	310	663	591	409	364	586	297	4014	1585	2080	2986	552	581	313	234	3336	2345	1169	2361	1039	1455	406
Rv0002	20	66	58	56	143	69	41	244	28	488	320	90	190	239	5	0	5	124	75	231	425	142	322	336
Rv0003	89	35	67	42	44	161	1	74	70	0	60	64	0	1	1	0	0	119	0	99	0	65	2	7
Rv0004	57	1	12	37	11	14	0	30	34	0	1	55	1	0	0	0	0	0	1	74	2	0	59	1
Rv0005	2648	877	3454	10143	4645	1114	3289	9150	2586	17287	59838	36649	38314	7935	25207	15975	20344	24118	11977	86760	58151	10468	7999	42860
Rv0006	590	458	1031	1679	1139	333	950	2092	901	4946	14830	6510	9477	3290	8753	6584	4658	6411	3181	19586	16068	3564	2095	8337
Rv0007	22	104	86	199	121	1	6	271	165	11	60	99	92	0	7	167	6	1	2	81	166	14	100	1
Rv0008c	0	72	0	0	14	0	0	0	11	0	0	1	0	0	0	2	0	78	0	0	0	0	0	0
Rv0009	288	314	737	459	814	545	789	545	505	1996	1593	1047	239	1408	554	420	374	2162	1839	2188	2300	1860	1740	773
Rv0010c	109	171	268	274	498	114	205	560	310	3059	1147	650	685	1585	899	495	817	3305	2415	909	709	1936	2896	347
Rv0011c	360	97	188	287	530	380	213	513	237	907	1001	913	798	419	489	247	234	1454	409	1776	1198	368	394	607
Rv0012	13	142	230	142	178	134	109	170	104	5	293	385	452	17	129	9	3	248	194	591	569	195	48	9
Rv0013	20	78	102	158	77	0	106	28	58	78	195	28	98	1	224	9	2	168	261	121	221	4	0	44
Rv0014c	49	137	152	329	499	298	302	749	102	3427	3138	2474	1862	543	1568	1093	1383	2429	1562	5287	2306	1301	1260	1176
Rv0015c	81	121	164	459	118	3	48	451	103	790	817	580	832	560	880	933	675	571	400	2212	1992	460	402	445
Rv0016c	95	154	299	462	325	482	237	623	197	1745	1632	1279	1428	960	584	734	1483	2015	1945	2085	1499	372	1023	777
Rv0017c	153	45	52	174	330	27	257	175	88	111	662	451	471	325	201	174	524	487	545	587	379	579	491	717
Rv0018c	288	126	297	587	262	15	287	1057	440	1088	2765	2253	2296	705	1235	1654	1439	2255	1212	4337	3771	975	965	1854
Rv0019c	119	89	60	26	16	46	25	45	20	144	30	124	4	1	1	1	0	0	2	434	2	1	2	2
Rv0020c	620	220	734	1172	1028	301	653	1353	813	4179	4413	3417	4037	531	1284	1168	1172	3438	1542	4859	6013	1218	1686	2244
Rv0021c	128	31	75	95	13	21	18	71	0	61	170	92	4	0	44	1	0	4	2	40	124	0	0	1
Rv0022c	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
Rv0023	0	17	11	0	0	0	0	139	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rv0024	45	0	6	27	17	0	1	189	0	1	1	0	3	0	0	0	0	1	0	2	0	0	0	1
Rv0025	72	34	0	28	7	1	0	26	39	0	0	0	0	0	0	1	0	0	0	0	1	96	0	0
Rv0026	154	11	68	122	133	267	116	35	164	325	187	117	353	7	7	58	7	85	272	311	49	9	193	2
Rv0027	88	89	25	89	7	104	92	40	24	39	391	111	79	228	379	210	4	140	86	639	200	121	0	2
Rv0028	38	0	88	27	3	0	19	68	0	156	275	425	43	78	161	54	67	347	293	399	15	125	283	151
Rv0029	0	80	15	3	71	68	31	86	47	211	223	361	98	3	78	193	121	545	218	78	20	169	295	300
Rv0030	66	1	0	0	0	0	35	48	68	0	0	0	145	0	0	0	0	3	0	91	0	1	0	1
Rv0032	0	15	7	38	4	0	8	32	0	93	2	3	2	0	4	1	47	135	0	2	1	58	2	0
Rv0033	1	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0
Rv0034	0	0	25	0	0	0	0	7	0	0	0	2	0	0	0	0	1	20	0	0	0	0	0	0
Rv0035	59	49	103	206	57	1	256	157	64	716	123	180	6	46	47	70	229	220	119	1	487	372	208	247
Rv0036c	24	17	46	37	45	1	179	54	169	30	231	166	36	70	1	1	0	30	44	5	102	2	50	2
Rv0037c	78	21	59	22	122	62	137	154	46	82	303	316	33	314	4	69	190	281	230	284	30	137	49	51
Rv0038	415	200	344	556	374	274	454	837	431	674	873	481	529	429	68	265	101	524	450	1369	124	378	96	828
Rv0039c	8	0	1	0	3	28	9	0	1	0	0	11	2	0	0	0	0	0	2	0	0	0	0	0
Rv0040c	120	267	345	285	667	143	449	732	332	2306	2060	3110	2912	29	248	257	103	1177	580	3503	4199	63	327	740
Rv0041	125	179	320	410	218	665	386	1868	213	250	260	104	156	87	21	240	5	520	760	413	931	341	552	200
Rv0042c	64	1	99	54	102	10	7	74	110	174	388	340	266	110	168	7	7	364	371	137	549	474	125	8
Rv0043c	4	47	135	68	101	0	199	18	66	4	81	39	44	162	63	2	18	471	3	309	85	167	13	1
Rv0044c	42	78	40	6	20	4	135	14	28	398	632	311	222	101	247	118	9	289	764	631	343	275	68	212
Rv0045c	24	36	1	56	9	11	74	134	37	0	1	2	97	0	0	14	0	43	0	0	1	1	1	0
Rv0046c	595	592	804	1297	729	976	435	1089	670	1649	3800	3232	2499	462	1075	594	1248	1889	1106	4198	5878	1633	1513	1193
Rv0047c	73	69	187	504	249	6	60	139	46	301	1464	1363	1243	5	563	270	99	90	281	935	1265	167	90	311
Rv0048c	180	68	75	56	116	144	165	33	28	430	172	326	260	2	2	43	96	81	12	261	531	129	2	2
Rv0049	114	158	68	113	25	31	210	43	83	1	0	132	8	1	3	2	2	159	135	236	10	3	137	143
Rv0050	373	141	685	715	362	508	607	852	439	2089	2243	1471	2448	1023	1217	659	544	2035	1851	3095	2288	1430	1806	932
Rv0051	25	29	108	43	72	1	32	90	16	493	340	239	196	384	211	99	5	318	269	228	560	293	217	2
Rv0052	27	0	98	68	17	150	43	81	8	394	51	72	2	0	73	1	308	20	5	40	103	0	15	0
Rv0053	54	63	181	167	133	282	123	39	48	952	207	819	179	208	8	15	346	622	359	922	333	695	266	522
Rv0054	1	67	26	35	27	0	12	111	49	0	92	38	15	101	5	3	0	9	35	54	111	2	1	3
Rv0055	40	0	64	43	0	0	0	24	65	0	40	0	73	0	0	0	0	72	1	0	0	0	0	7
Rv0056	5	61	85	66	4	105	0	68	0	155	205	157	55	51	282	48	1	80	0	90	429	51	114	9
Rv0057	30	69	15	127	35	2	108	20	126	357	59	1	97	3	205	0	0	186	3	110	43	86	123	116
Rv0058	744	605	518	716	702	941	377	657	352	2991	2512	1505	2146	631	574	299	857	4224	3214	2643	2226	2098	2394	1605
Rv0059	134	44	174	170	401	84	133	326	74	2385	763	672	200	443	556	244	334	2510	1155	1537	769	1038	954	427
Rv0060	55	92	188	194	229	6	23	134	186	576	641	785	678	187	146	94	402	647	301	1291	806	216	327	307
Rv0061c	125	75	56	207	27	166	90	214	62	2	271	178	181	128	3	1	2	296	180	73	201	57	178	47
Rv0062	32	8	0	1	9	0	14	48	55	1	11	58	32	0	0	0	1	2	1	0	7	2	5	52
Rv0063	0	87	0	79	7	19	26	85	57	6	33	5	52	2	24	1	2	55	3	43	57	18	82	1
Rv0063a	0	0	14	16	27	58	0	15	67	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0
Rv0064	240	151	317	521	388	80	319	1016	431	1909	4626	2760	2633	874	2772	2271	2694	2272	1704	5555	2453	1246	803	3985
Rv0064A	0	0	0	21	13	0	0	5	0	22	0	0	3	0	0	0	0	0	0	0	0	0	1	0
Rv0065	104	20	94	124	14	28	8	87	88	323	38	0	15	5	81	138	3	124	108	0	51	112	77	1
Rv0066c	277	117	332	353	160	118	275	464	435	937	1222	570	440	483	255	246	79	1006	1566	955	812	859	440	836
Rv0067c	46	0	28	72	48	0	1	159	61	1	154	123	225	39	124	2	0	0	18	86	11	123	1	0
Rv0068	0	1	49	80	90	0	1	9	42	4	221	237	168	53	30	68	1	16	52	502	105	1	2	43
Rv0069c	149	76	128	176	85	107	1	105	168	530	73	98	59	51	4	2	1	464	120	91	52	205	200	141
Rv0070c	201	21	117	35	93	55	170	67	42	621	188	198	121	40	3	14	4	255	390	46	459	132	157	3
Rv0071	0	41	12	35	0	0	1	2	0	99	8	77	3	1	66	1	1	59	134	85	1	114	14	17
Rv0072	34	51	243	128	141	228	250	316	146	353	485	475	317	197	136	342	185	577	355	608	706	421	281	282
Rv0073	292	57	8	202	231	2	76	342	144	98	117	93	119	2	264	339	1	208	254	4	200	142	2	391
Rv0074	45	31	70	148	31	5	79	240	39	273	244	256	223	3	228	118	208	142	9	201	301	43	111	64
Rv0075	81	84	36	77	40	6	3	83	153	398	87	53	174	58	3	5	264	230	107	215	97	73	3	325
Rv0076c	18	0	2	1	35	84	72	27	0	165	0	12	16	0	0	0	1	0	1	172	95	1	1	1
Rv0077c	1	4	2	1	35	2	1	11	0	144	44	189	5	0	106	1	0	18	1	87	145	1	28	2
Rv0078	1	23	1	106	4	1	12	72	14	0	63	17	25	26	2	49	2	6	1	30	1	2	1	5
Rv0078A	97	2	18	281	91	148	214	258	150	309	470	233	98	19	117	439	206	366	240	420	523	242	104	193
Rv0078B	0	20	1	14	3	38	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Rv0079	1449	999	1567	1127	1464	724	951	1506	982	1320	2685	5690	4498	200	915	2067	949	1887	360	1248	5164	558	377	307
Rv0080	327	68	506	551	476	7	75	132	161	155	394	591	364	1	199	59	87	245	63	504	334	188	109	462
Rv0081	3	50	133	82	32	2	1	16	0	1	0	75	38	0	0	90	0	37	0	36	89	2	0	155
Rv0082	1	0	2	18	24	2	65	29	20	0	53	10	5	0	55	0	0	0	0	1	96	6	0	1
Rv0083	54	8	69	0	37	5	2	58	71	291	2	112	187	0	113	136	14	4	12	134	9	6	1	2
Rv0084	0	0	47	51	26	4	0	74	0	1	44	269	164	1	55	160	1	46	35	24	106	136	3	4
Rv0085	0	40	7	6	5	0	15	0	45	38	1	247	0	1	1	20	0	4	2	0	145	3	0	7
Rv0086	98	0	33	5	74	0	1	87	45	7	67	81	11	1	4	8	1	11	4	2	139	0	1	7
Rv0087	1	0	20	87	16	0	0	91	78	89	320	553	494	3	132	146	410	193	156	243	183	11	239	117
Rv0088	38	69	38	118	70	85	82	182	66	297	248	64	385	284	468	272	189	127	149	148	577	240	127	161
Rv0089	1	1	6	32	10	41	0	12	0	110	2	111	234	34	38	55	380	73	14	93	0	98	149	85
Rv0090	0	0	1	0	0	0	0	2	0	0	30	0	1	0	48	0	0	152	0	0	0	0	0	0
Rv0091	0	7	0	0	31	87	0	34	23	28	82	140	8	1	1	23	3	74	8	67	3	7	33	8
Rv0092	99	14	8	139	37	1	95	252	1	100	119	286	208	13	306	83	92	234	177	5	195	39	6	1
Rv0093c	0	0	0	39	0	0	0	11	66	0	9	18	0	0	0	0	0	0	0	0	2	20	0	0
Rv0094c	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rv0095c	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0
Rv0096	0	0	141	0	9	0	0	0	0	0	1	33	7	0	0	39	2	0	5	0	1	0	0	0
Rv0097	38	0	21	20	47	158	0	0	0	2	85	46	78	1	5	3	2	173	209	149	0	60	34	3
Rv0098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	46	0	1	51	90	0
Rv0099	0	7	1	7	51	0	85	53	0	244	114	52	356	3	71	49	231	0	1	1	187	2	62	225
Rv0100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rv0101	393	394	550	603	479	34	582	792	244	1005	1396	1439	579	243	603	162	487	2438	1126	985	1150	940	1460	462
Rv0102	1	86	167	62	149	4	111	163	141	230	1088	350	610	178	212	441	296	625	96	550	561	383	126	10
Rv0103c	152	44	194	161	104	235	65	229	123	769	340	610	115	169	216	454	289	289	93	506	453	307	356	103
Rv0104	0	52	29	70	30	0	3	71	30	1	0	29	139	1	38	101	0	83	75	94	68	0	21	1
Rv0105c	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Rv0106	240	39	27	86	25	470	149	83	56	200	180	371	361	2	5	5	41	653	873	309	1245	148	224	24
Rv0107c	739	312	557	726	626	348	471	568	386	2774	697	1045	1238	147	135	112	314	2189	1553	887	1658	1560	582	192
Rv0108c	186	221	239	229	261	310	295	91	109	730	296	479	2	67	5	254	3	208	479	250	424	197	167	3
Rv0109	0	27	25	53	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Rv0110	0	0	0	26	14	132	82	11	67	0	107	1	78	119	1	115	102	8	1	39	1	45	1	40
Rv0111	70	31	26	42	29	2	0	93	180	245	7	48	157	144	79	2	1	322	271	8	443	1	129	112
Rv0112	40	87	67	72	41	50	1	69	63	11	80	349	130	139	3	51	146	107	63	257	313	257	194	221
Rv0113	0	0	22	32	18	88	59	43	0	83	70	84	35	203	2	2	0	127	85	39	117	14	0	2
Rv0114	0	0	56	39	25	2	0	29	20	1	5	149	71	58	71	28	8	35	1	297	175	3	179	66
Rv0115	2	0	64	81	86	108	0	128	0	112	4	149	82	164	102	69	228	209	78	235	141	83	183	138
Rv0115a	1	14	126	2	38	187	55	0	84	0	14	47	1	72	1	110	1	0	87	0	0	54	165	7
Rv0116c	40	90	117	162	44	58	85	100	62	173	515	433	323	294	327	351	388	89	456	690	74	391	365	207
Rv0117	24	0	13	1	83	0	44	18	29	194	121	103	79	1	2	32	3	362	29	34	2	245	212	1
Rv0118c	127	169	529	202	335	52	121	173	104	1741	488	498	700	49	187	86	6	814	1182	27	147	234	61	8
Rv0119	1	10	116	37	9	84	8	5	0	2	47	8	2	0	82	48	185	2	0	9	0	8	0	0
Rv0120c	83	138	108	140	161	68	128	14	95	157	271	323	190	7	58	232	2	119	4	127	114	84	5	2
Rv0121c	0	0	0	46	3	0	0	16	0	1	51	112	100	33	142	13	267	34	1	30	472	0	34	28
Rv0122	0	0	0	151	0	0	0	0	0	1	145	0	2	15	1	114	0	0	0	1	1	1	0	105
Rv0123	4	0	1	65	0	0	0	135	0	222	257	248	164	61	306	6	311	306	206	34	207	10	123	33
Rv0124	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	64	1	0	0	0
Rv0125	287	84	312	147	151	34	23	430	102	682	835	954	428	21	227	67	220	350	589	1261	954	322	142	357
Rv0126	442	75	233	242	203	101	121	303	173	989	1206	757	725	555	427	1044	173	1714	627	1043	903	708	321	919
Rv0127	38	0	71	31	18	1	54	83	65	361	71	258	100	1	6	139	3	109	205	322	243	60	303	126
Rv0128	46	86	59	94	28	234	10	3	60	0	120	64	105	71	1	1	3	94	2	149	387	105	156	113
Rv0129c	325	337	906	753	934	245	609	821	647	3678	4388	3064	4258	1299	686	538	822	3102	2010	9592	6091	1713	1831	2860
Rv0130	0	0	14	0	1	3	0	62	37	0	1	32	0	0	0	0	0	103	0	0	0	0	57	28
Rv0131c	0	0	0	40	47	63	2	9	14	124	38	201	21	58	1	6	323	2	84	344	369	155	0	70
Rv0132c	13	2	0	2	0	0	42	0	12	0	130	7	144	2	80	3	2	218	1	261	10	1	0	190
Rv0133	45	1	121	222	135	41	0	215	22	584	697	601	856	2	309	8	2	114	107	597	1025	8	65	244
Rv0134	94	1	55	35	42	260	79	188	47	32	80	100	88	103	5	152	1	120	2	129	0	99	6	147
Rv0135c	36	1	178	194	125	2	76	150	70	349	97	160	242	53	5	3	5	107	175	2	195	214	199	27
Rv0136	0	1	15	41	16	0	98	35	0	192	250	106	228	0	1	2	0	39	0	150	68	0	1	1
Rv0137c	32	0	84	100	6	130	160	312	86	383	657	477	111	311	76	111	566	174	50	397	678	73	117	440
Rv0138	41	24	1	31	130	105	1	42	102	239	424	702	490	59	116	63	5	695	774	487	529	49	54	512
