"Gene_ID"	"SRR8368679"	"SRR8368680"	"SRR8368681"	"SRR8368682"	"SRR8368683"	"SRR8368684"
"Rv2389c"	106	110	131	94	98	57
"Rv2390c"	111	116	112	118	96	59
"Rv2391"	4780	6384	6049	4680	4935	1178
"Rv2392"	1021	1220	1296	995	1127	343
"Rv2393"	952	1243	1221	994	1241	286
"Rv2394"	972	1116	1115	948	1028	330
"Rv2395"	529	645	572	505	523	271
"Rv2395A"	0	0	0	0	0	0
"Rv2395B"	1707	1656	2086	1440	1353	505
"Rv2396"	1299	1677	2166	1348	1624	648
"Rv2397c"	288	394	369	256	282	174
"Rv2398c"	48	65	64	60	69	58
"Rv2399c"	138	85	144	145	106	92
"Rv2400c"	73	96	112	88	99	93
"Rv2401"	37	30	36	33	31	18
"Rv2401A"	18	8	10	6	8	13
"Rv2402"	416	494	489	362	486	295
"Rv2403c"	116	141	137	122	146	100
"Rv2404c"	203	305	294	198	241	207
"Rv2405"	220	230	264	211	188	94
"Rv2406c"	720	760	792	677	597	249
"Rv2407"	27	29	34	20	24	44
"Rv2408"	59	53	56	46	56	43
"Rv2409c"	107	114	119	114	130	67
"Rv2410c"	261	354	381	289	337	163
"Rv2411c"	478	572	633	612	625	364
"Rv2412"	618	554	659	636	537	286
"Rv2413c"	125	117	119	119	133	97
"Rv2414c"	191	155	178	185	157	133
"Rv2415c"	36	36	60	37	36	93
"Rv2416c"	117	139	138	168	148	142
"Rv2417c"	189	215	230	175	202	135
"Rv2418c"	139	207	204	139	153	93
"Rv2419c"	167	176	218	189	244	104
"Rv2420c"	50	79	66	47	45	40
"Rv2421c"	170	152	160	170	152	81
"Rv2422"	33	21	31	15	14	23
"Rv2423"	79	80	57	56	72	75
"Rv2424c"	29	27	31	27	45	27
"Rv2425c"	249	376	307	252	284	251
"Rv2426c"	125	137	144	87	127	107
"Rv2427c"	424	513	517	436	444	307
"Rv2428"	50	46	55	56	40	62
"Rv2429"	97	86	88	128	112	104
"Rv2430c"	331	391	527	406	387	307
"Rv2431c"	245	287	437	302	339	205
"Rv2432c"	166	211	229	231	154	93
"Rv2433c"	2	1	2	6	4	11
"Rv2434c"	85	121	115	112	112	117
"Rv2435c"	209	224	260	203	187	201
"Rv2436"	38	37	43	48	48	84
"Rv2437"	32	35	26	27	27	43
"Rv2438A"	3	11	12	9	11	12
"Rv2438c"	361	446	472	387	401	331
"Rv2439c"	134	158	201	145	176	126
"Rv2440c"	384	378	437	333	337	178
"Rv2441c"	426	478	496	399	351	194
"Rv2442c"	610	606	615	533	509	236
"Rv2443"	323	274	356	337	350	189
"Rv2444c"	2007	2435	2466	1863	2166	1037
"Rv2445c"	316	307	389	307	325	187
"Rv2446c"	41	49	51	49	39	38
"Rv2447c"	278	379	388	274	408	274
"Rv2448c"	411	571	582	523	522	513
"Rv2449c"	185	224	271	216	238	179
"Rv2450c"	10	13	11	14	9	41
"Rv2451"	30	38	25	28	17	33
"Rv2452c"	16	18	21	23	18	9
"Rv2453c"	134	167	194	112	180	94
"Rv2454c"	471	733	669	495	634	488
"Rv2455c"	901	1087	1209	890	1072	812
"Rv2456c"	306	307	330	323	289	173
"Rv2457c"	4368	5483	5667	4675	4891	2387
"Rv2458"	73	90	90	74	79	82
"Rv2459"	973	984	1002	902	903	368
"Rv2460c"	785	955	998	700	757	516
"Rv2461c"	549	586	666	523	513	285
"Rv2462c"	834	980	992	776	909	637
"Rv2463"	622	719	776	641	688	331
"Rv2464c"	118	167	133	97	117	98
"Rv2465c"	112	121	111	90	91	109
"Rv2466c"	47	59	58	61	74	132
"Rv2467"	768	916	931	786	816	520
"Rv2468A"	56	62	76	54	51	42
"Rv2468c"	323	325	355	263	315	214
"Rv2469c"	169	158	123	132	108	90
"Rv2470"	85	84	81	66	62	54
"Rv2471"	127	156	157	118	139	138
"Rv2472"	35	31	25	43	24	22
"Rv2473"	71	55	66	54	52	59
"Rv2474c"	103	162	137	121	129	109
"Rv2475c"	128	101	174	138	184	119
"Rv2476c"	2189	2803	2660	2184	2498	1768
"Rv2477c"	1039	1193	1203	1043	1083	749
"Rv2478c"	22	31	28	21	17	23
"Rv2481c"	73	65	76	61	85	33
"Rv2482c"	875	1043	1135	875	986	599
"Rv2483c"	634	806	802	596	835	468
"Rv2484c"	978	1224	1289	1002	1250	644
"Rv2485c"	785	767	801	815	733	390
"Rv2486"	110	120	136	126	147	96
"Rv2487c"	48	49	60	50	44	124
"Rv2488c"	186	255	284	201	193	314
"Rv2489c"	18	14	23	13	16	22
"Rv2490a"	8	7	3	6	0	28
"Rv2490c"	97	126	134	92	122	233
"Rv2491"	5	14	13	5	10	21
"Rv2492"	11	9	13	13	15	22
"Rv2493"	23	35	38	37	35	16
"Rv2494"	79	89	91	95	91	62
"Rv2495c"	389	555	610	489	600	460
"Rv2496c"	346	613	683	474	611	532
"Rv2497c"	444	711	760	492	642	425
"Rv2498c"	221	312	314	261	352	182
"Rv2499c"	110	151	149	99	127	86
"Rv2500c"	464	669	734	528	562	383
"Rv2501c"	381	489	509	419	487	300
"Rv2502c"	283	429	443	356	452	301
"Rv2503c"	159	249	231	161	240	119
"Rv2504c"	251	303	301	310	375	145
"Rv2505c"	217	176	209	195	198	165
"Rv2506"	69	75	87	84	55	73
"Rv2507"	89	118	107	124	88	75
"Rv2508c"	146	135	155	151	146	135
"Rv2509"	269	316	348	272	295	210
"Rv2510c"	266	291	278	245	261	178
"Rv2511"	105	100	102	96	106	89
"Rv2512a"	31	21	29	29	22	21
"Rv2512c"	21	29	23	21	23	8
"Rv2513"	116	124	115	113	102	68
"Rv2514c"	39	26	28	32	41	37
"Rv2515c"	27	38	42	33	46	81
"Rv2516c"	117	164	172	133	154	96
"Rv2517c"	54	68	76	61	59	34
"Rv2518c"	268	347	377	246	268	176
"Rv2519"	498	509	622	499	391	203
"Rv2520c"	106	113	108	95	77	53
"Rv2521"	74	98	80	106	102	97
"Rv2522c"	174	195	201	137	172	188
"Rv2523c"	133	157	141	111	145	58
"Rv2524c"	11991	15933	16460	14964	17550	4875
"Rv2525c"	320	342	373	368	417	237
"Rv2526"	26	30	29	26	25	13
"Rv2527"	32	46	46	43	40	40
"Rv2528c"	74	85	81	64	82	83
"Rv2529"	33	47	32	45	31	76
"Rv2530A"	18	23	25	20	26	21
"Rv2530c"	47	40	46	49	25	28
"Rv2531c"	391	449	539	383	465	367
"Rv2532c"	135	190	169	116	126	97
"Rv2533c"	200	259	264	173	204	88
"Rv2534c"	284	363	346	276	281	183
"Rv2535c"	391	414	521	379	470	258
"Rv2536"	447	520	518	428	482	196
"Rv2537c"	102	109	122	94	112	60
"Rv2538c"	155	168	175	176	143	115
"Rv2539c"	105	121	110	88	98	59
"Rv2540c"	313	460	469	332	439	225
"Rv2541"	32	39	50	29	41	32
"Rv2542"	295	325	304	213	275	129
"Rv2543"	373	436	456	411	385	97
"Rv2544"	4	4	7	6	4	23
"Rv2545"	6	6	9	7	4	10
"Rv2546"	1	5	3	6	1	21
"Rv2547"	20	27	23	27	22	25
"Rv2548"	82	62	72	60	83	33
"Rv2548A"	145	184	169	164	124	88
"Rv2549c"	28	30	31	25	27	35
"Rv2550c"	17	38	34	22	31	46
"Rv2551c"	38	43	31	39	40	29
"Rv2552c"	76	75	91	89	81	64
"Rv2553c"	364	397	474	384	398	271
"Rv2554c"	139	148	139	108	131	63
"Rv2555c"	1433	1869	1863	1351	1686	948
"Rv2556c"	273	363	367	322	330	120
"Rv2557"	808	1211	1353	744	1294	391
"Rv2558"	774	1239	1375	713	1105	328
"Rv2559c"	289	380	435	280	367	166
"Rv2560"	133	144	145	148	131	96
"Rv2563"	438	422	477	437	404	214
"Rv2564"	378	503	518	326	433	275
"Rv2565"	347	486	538	324	421	303
"Rv2566"	257	295	324	322	295	281
"Rv2567"	420	516	534	410	500	467
"Rv2568c"	103	117	132	102	104	127
"Rv2569c"	87	103	88	83	78	83
"Rv2570"	14	20	22	18	11	19
"Rv2571c"	169	158	188	149	177	130
"Rv2572c"	465	521	565	420	443	309
"Rv2573"	36	34	33	37	28	58
"Rv2574"	71	107	107	92	68	54
"Rv2575"	235	257	252	199	241	187
"Rv2576c"	244	269	307	256	236	274
"Rv2577"	50	48	50	45	61	102
"Rv2578c"	22	42	32	20	20	55
"Rv2579"	159	223	204	146	183	145
"Rv2580c"	186	270	295	238	276	214
"Rv2581c"	116	119	123	133	107	135
"Rv2582"	113	140	155	87	119	91
"Rv2583c"	1416	1903	1985	1402	1725	939
"Rv2584c"	952	1060	1268	884	1101	411
"Rv2585c"	809	844	960	735	726	508
"Rv2586c"	896	1176	1241	997	1162	571
"Rv2587c"	927	1170	1229	909	1080	603
"Rv2588c"	369	366	383	325	296	193
"Rv2589"	305	297	327	280	303	210
"Rv2590"	1830	2163	2183	1581	1983	843
"Rv2591"	307	299	311	289	255	161
"Rv2592c"	138	180	189	142	155	168
"Rv2593c"	72	90	77	71	87	87
"Rv2594c"	210	217	258	192	222	139
"Rv2595"	37	49	36	45	30	30
"Rv2596"	60	59	80	65	56	45
"Rv2597"	191	229	250	167	201	81
"Rv2598"	29	52	36	19	34	30
"Rv2599"	55	73	60	41	64	44
"Rv2600"	260	255	257	267	220	142
"Rv2601"	134	106	111	106	128	156
"Rv2601A"	13	22	23	15	19	31
"Rv2602"	83	82	97	89	94	81
"Rv2603c"	453	539	578	477	504	277
"Rv2604c"	108	124	136	92	130	134
"Rv2605c"	223	347	347	247	265	197
"Rv2606c"	414	465	499	417	446	276
"Rv2607"	64	57	61	76	62	67
"Rv2608"	377	429	501	373	378	231
"Rv2609c"	284	311	331	278	307	211
"Rv2610c"	223	282	263	214	260	195
"Rv2611c"	146	157	178	140	179	138
"Rv2612c"	124	150	168	107	149	86
"Rv2613c"	81	145	116	100	118	102
"Rv2614A"	2	3	7	5	6	15
"Rv2614c"	308	406	435	330	362	330
"Rv2615c"	136	165	185	138	159	123
"Rv2616"	54	59	58	51	62	56
"Rv2617c"	53	49	57	64	47	62
"Rv2618"	36	49	46	43	47	43
"Rv2619c"	34	28	40	36	26	28
"Rv2620c"	16	11	21	13	30	28
"Rv2621c"	62	84	65	56	68	61
"Rv2622"	26	46	35	29	33	58
"Rv2623"	28	40	58	19	30	112
"Rv2624c"	8	18	23	12	14	47
"Rv2625c"	45	35	53	39	40	79
"Rv2626c"	5	12	24	11	10	36
"Rv2627c"	7	34	61	19	23	138
"Rv2628"	47	47	63	40	55	70
"Rv2629"	161	286	321	183	246	224
"Rv2630"	22	32	37	36	48	65
"Rv2631"	366	414	455	355	363	176
"Rv2632c"	686	784	845	613	669	184
"Rv2633c"	1489	1564	1607	1504	1008	303
"Rv2634c"	79	135	141	138	142	103
"Rv2635"	0	0	2	0	1	8
"Rv2636"	109	89	101	89	83	69
"Rv2637"	98	116	132	107	128	104
"Rv2638"	368	377	422	302	336	84
"Rv2639c"	90	107	114	104	124	53
"Rv2640c"	34	39	52	32	41	28
"Rv2641"	127	127	159	159	149	72
"Rv2642"	56	38	40	44	46	36
"Rv2643"	69	79	93	73	66	107
"Rv2644c"	41	37	44	30	27	39
"Rv2645"	23	29	29	14	22	15
"Rv2646"	43	48	49	47	41	66
"Rv2647"	14	20	19	18	13	47
"Rv2650c"	62	95	85	88	123	129
"Rv2651c"	50	65	41	51	58	57
"Rv2652c"	40	37	30	23	44	32
"Rv2653c"	4	3	7	4	6	22
"Rv2654c"	1	0	0	0	1	4
"Rv2655c"	60	55	45	45	42	100
"Rv2656c"	47	39	28	46	57	36
"Rv2657c"	80	60	71	87	66	26
"Rv2658c"	17	22	43	18	25	32
"Rv2659c"	48	69	75	49	54	86
"Rv2660c"	82	142	167	96	88	38
"Rv2661c"	4	4	5	6	4	12
"Rv2662"	13	22	10	12	10	7
"Rv2663"	95	67	76	80	59	36
"Rv2664"	35	17	25	30	30	21
"Rv2665"	235	219	198	245	215	92
"Rv2667"	14	9	14	21	13	54
"Rv2668"	42	50	69	56	44	43
"Rv2669"	29	24	27	30	21	22
"Rv2670c"	54	65	80	62	55	57
"Rv2671"	45	42	51	27	39	58
"Rv2672"	245	313	328	282	300	230
"Rv2673"	231	220	266	241	177	158
"Rv2674"	144	167	168	131	148	92
"Rv2675c"	160	160	194	138	176	112
"Rv2676c"	102	141	130	90	119	118
"Rv2677c"	224	218	256	196	277	157
"Rv2678c"	203	263	263	213	271	181
"Rv2679"	130	149	153	143	150	105
"Rv2680"	306	327	353	323	294	320
"Rv2681"	264	327	335	299	314	275
"Rv2682c"	1043	1336	1434	1087	1374	529
"Rv2683"	190	155	171	199	151	80
"Rv2684"	254	338	343	275	294	167
"Rv2685"	333	313	307	289	307	165
"Rv2686c"	85	96	134	93	105	72
"Rv2687c"	41	72	73	52	76	58
"Rv2688c"	189	263	275	261	246	146
"Rv2689c"	113	160	139	123	118	130
"Rv2690c"	375	436	449	369	371	305
"Rv2691"	184	206	220	189	182	111
"Rv2692"	175	213	224	187	207	155
"Rv2693c"	123	155	148	111	144	113
"Rv2694c"	378	543	575	465	493	145
"Rv2695"	73	77	83	83	72	72
"Rv2696c"	461	509	503	414	464	340
"Rv2697c"	224	325	259	218	281	121
"Rv2698"	132	150	176	128	144	73
"Rv2699c"	98	97	151	90	116	81
"Rv2700"	151	122	109	150	139	108
"Rv2701c"	60	97	65	72	51	73
"Rv2702"	182	240	228	163	169	152
"Rv2703"	1493	1638	1818	1341	1502	837
"Rv2704"	81	70	79	58	74	56
"Rv2705c"	45	40	43	32	27	19
"Rv2706c"	53	76	84	39	71	166
"Rv2707"	294	306	357	286	284	143
"Rv2708c"	78	143	148	92	132	98
"Rv2709"	144	115	148	131	100	59
"Rv2710"	1571	1723	1487	1840	1877	825
"Rv2711"	443	515	535	466	599	409
"Rv2712c"	138	125	142	126	81	106
"Rv2713"	775	641	825	721	961	355
"Rv2714"	352	384	389	364	328	191
"Rv2715"	770	872	914	718	763	358
"Rv2716"	140	152	138	113	134	94
"Rv2717c"	51	66	54	55	59	43
"Rv2718c"	306	291	289	316	338	215
"Rv2719c"	116	126	104	108	149	82
"Rv2720"	366	453	520	480	449	295
"Rv2721c"	2015	2276	2551	2688	2404	1379
"Rv2722"	22	29	23	16	27	15
"Rv2723"	212	219	221	224	191	113
"Rv2724c"	292	362	383	286	311	212
"Rv2725c"	527	539	589	554	612	349
"Rv2726c"	277	329	341	316	310	156
"Rv2727c"	64	106	85	76	98	82
"Rv2728c"	32	42	37	43	34	49
"Rv2729c"	121	119	126	116	151	101
"Rv2730"	8	9	8	9	6	29
"Rv2731"	415	534	606	394	526	333
"Rv2732c"	186	221	235	159	216	164
"Rv2733c"	248	298	329	275	280	206
"Rv2734"	77	90	106	99	102	99
"Rv2735c"	75	65	66	47	48	57
"Rv2736c"	97	132	106	94	79	62
"Rv2737c"	823	1026	1053	999	1124	888
"Rv2738c"	77	71	77	60	82	38
"Rv2739c"	228	237	265	226	217	133
"Rv2740"	194	165	189	214	195	110
"Rv2741"	307	312	380	270	253	145
"Rv2742c"	155	149	172	121	120	102
"Rv2743c"	401	484	514	409	531	235
"Rv2744c"	991	1224	1201	1032	1152	832
"Rv2745c"	400	447	515	496	586	226
"Rv2746c"	137	137	165	147	161	66
"Rv2747"	58	81	86	79	69	59
"Rv2748c"	795	943	1009	1028	1134	1055
"Rv2749"	44	32	40	38	29	30
"Rv2750"	245	309	336	273	307	161
"Rv2751"	161	192	245	176	217	162
"Rv2752c"	514	666	731	589	673	412
"Rv2753c"	516	665	670	576	589	305
"Rv2754c"	34	31	37	24	32	55
"Rv2756c"	145	199	218	142	168	204
"Rv2757c"	21	24	21	32	20	29
"Rv2758c"	9	9	11	15	5	13
"Rv2759c"	29	20	23	22	27	33
"Rv2760c"	9	6	12	6	9	3
"Rv2761c"	144	161	168	145	154	127
"Rv2762c"	47	80	71	56	62	43
"Rv2763c"	183	196	194	148	179	102
"Rv2764c"	649	634	697	717	558	295
"Rv2765"	72	62	48	54	64	75
"Rv2766c"	148	172	195	131	146	108
"Rv2767c"	17	10	20	15	18	13
"Rv2768c"	70	63	55	55	64	67
"Rv2769c"	49	60	62	40	33	53
"Rv2770c"	347	321	338	351	302	170
"Rv2771c"	178	200	262	194	226	125
"Rv2772c"	134	201	206	142	169	82
"Rv2773c"	276	329	362	273	298	189
"Rv2774c"	32	23	19	23	21	23
"Rv2775"	145	138	151	181	115	87
"Rv2776c"	106	148	143	154	166	131
"Rv2777c"	286	345	328	348	348	224
"Rv2778c"	614	564	671	556	522	268
"Rv2779c"	70	96	84	87	60	48
"Rv2780"	526	582	581	464	517	258
"Rv2781c"	191	225	266	199	239	181
"Rv2782c"	225	196	185	188	180	158
"Rv2783c"	1371	1279	1334	1292	1161	636
"Rv2784c"	112	108	102	105	89	56
"Rv2785c"	1007	881	914	883	609	241
"Rv2786c"	248	260	275	251	286	177
"Rv2787"	122	126	142	147	121	145
"Rv2788"	246	292	303	279	262	121
"Rv2789c"	323	374	360	315	341	303
"Rv2790c"	230	312	301	220	315	231
"Rv2791c"	1660	2384	3024	2770	2692	2746
"Rv2792c"	228	243	281	254	298	203
"Rv2793c"	187	202	198	143	202	130
"Rv2794c"	100	110	117	93	131	80
"Rv2795c"	239	288	280	242	212	160
"Rv2796c"	66	87	83	68	81	62
"Rv2797c"	91	108	148	95	97	126
"Rv2798c"	112	147	135	101	94	50
"Rv2799"	197	167	206	176	175	102
"Rv2800"	274	348	423	288	393	250
"Rv2801A"	19	20	9	8	13	10
"Rv2801c"	16	19	33	36	34	32
"Rv2802c"	109	92	121	119	132	94
"Rv2803"	25	18	32	42	22	33
"Rv2804c"	18	39	31	17	21	29
"Rv2805"	5	6	6	2	2	8
"Rv2806"	15	16	19	11	11	13
"Rv2807"	42	25	24	35	34	73
"Rv2808"	50	50	56	61	62	33
"Rv2809"	152	170	153	165	150	73
"Rv2811"	3	2	5	0	4	31
"Rv2812"	2	4	3	1	3	69
"Rv2813"	6	7	12	8	7	48
"Rv2816c"	587	549	603	697	534	230
"Rv2817c"	718	652	707	631	525	212
"Rv2818c"	110	95	114	108	94	101
"Rv2819c"	170	208	208	174	149	115
"Rv2820c"	65	76	82	65	60	60
"Rv2821c"	66	68	62	89	56	59
"Rv2822c"	20	13	11	14	18	20
"Rv2823c"	132	170	173	117	153	223
"Rv2824c"	93	69	81	82	74	78
"Rv2825c"	142	124	163	179	230	85
"Rv2826c"	64	68	68	50	76	93
"Rv2827c"	57	65	78	67	74	64
"Rv2828A"	37	46	40	28	26	18
"Rv2828c"	21	42	33	30	30	14
"Rv2829c"	98	98	95	78	80	59
"Rv2830c"	36	49	50	49	40	17
"Rv2831"	185	172	165	127	138	91
"Rv2832c"	104	134	129	108	99	110
"Rv2833c"	31	43	60	37	36	84
"Rv2834c"	20	36	36	25	31	51
"Rv2835c"	34	47	49	46	39	69
"Rv2836c"	262	263	296	254	269	126
"Rv2837c"	443	472	510	424	485	279
"Rv2838c"	258	357	379	254	260	77
"Rv2839c"	1559	2152	2311	1502	1902	1014
"Rv2840c"	1173	1433	1321	1076	1139	639
"Rv2841c"	337	447	493	387	419	247
"Rv2842c"	426	359	375	396	413	185
"Rv2843"	91	102	119	95	97	60
"Rv2844"	87	129	113	87	102	75
"Rv2845c"	290	326	373	298	291	242
"Rv2846c"	2066	2570	2906	2562	2919	965
"Rv2847c"	180	211	280	180	259	127
"Rv2848c"	171	151	163	148	159	164
"Rv2849c"	93	154	134	145	126	98
"Rv2850c"	339	434	407	314	448	270
"Rv2851c"	131	166	141	136	163	101
"Rv2852c"	336	349	398	365	372	237
"Rv2853"	166	192	199	140	176	122
"Rv2854"	91	76	95	65	79	86
"Rv2855"	202	263	285	218	208	210
"Rv2856"	130	158	154	151	158	116
"Rv2857c"	166	186	196	152	160	147
"Rv2858c"	250	331	347	216	253	164
"Rv2859c"	139	167	184	118	145	118
"Rv2860c"	275	312	334	278	242	224
"Rv2861c"	417	442	518	393	407	287
"Rv2862A"	2	2	2	1	2	11
"Rv2862c"	92	94	121	91	91	69
"Rv2863"	20	20	19	15	12	28
"Rv2864c"	240	298	309	277	270	354
"Rv2865"	14	45	38	25	28	28
"Rv2866"	7	20	15	9	7	20
"Rv2867c"	575	656	629	543	703	328
"Rv2868c"	874	1056	1104	831	1053	584
"Rv2869c"	362	477	507	451	547	287
"Rv2870c"	236	300	288	243	270	141
"Rv2871"	30	29	37	29	34	23
"Rv2872"	33	31	33	24	26	35
"Rv2873"	51	40	58	31	39	66
"Rv2874"	60	65	73	61	46	136
"Rv2875"	46	50	56	37	32	41
"Rv2876"	232	202	205	225	196	100
"Rv2877c"	92	66	83	88	86	72
"Rv2878c"	118	122	121	98	110	72
"Rv2881c"	512	647	649	560	606	305
"Rv2882c"	442	527	558	434	429	290
"Rv2883c"	669	662	732	681	649	430
"Rv2884"	224	285	286	260	227	139
"Rv2885c"	109	134	155	155	156	152
"Rv2886c"	16	27	35	35	52	53
"Rv2887"	72	55	53	75	73	52
"Rv2888c"	610	661	735	574	577	365
"Rv2889c"	470	523	582	460	476	309
"Rv2890c"	876	989	1043	845	781	442
"Rv2891"	9	11	5	3	7	24
"Rv2892c"	70	79	106	80	91	75
"Rv2893"	55	42	55	40	50	70
"Rv2894c"	178	209	245	255	294	230
"Rv2895c"	316	436	458	284	367	213
"Rv2896c"	111	130	152	99	115	102
"Rv2897c"	11	12	17	11	20	84
"Rv2898c"	84	71	84	76	56	38
"Rv2899c"	121	120	170	139	166	108
"Rv2900c"	596	710	701	530	568	443
"Rv2901c"	302	328	303	289	252	142
"Rv2902c"	353	390	384	339	341	163
"Rv2903c"	773	761	754	693	677	304
"Rv2904c"	881	970	911	878	747	257
"Rv2905"	1060	1179	1220	1220	1138	500
"Rv2906c"	56	84	91	62	79	57
"Rv2907c"	67	98	73	51	90	63
"Rv2908c"	108	167	157	110	102	40
"Rv2909c"	415	531	503	388	449	307
"Rv2910c"	122	120	165	102	76	70
"Rv2911"	169	195	208	121	136	136
"Rv2912c"	47	49	45	25	41	59
"Rv2913c"	177	188	192	134	165	185
"Rv2914c"	182	206	237	163	228	167
"Rv2915c"	153	195	236	162	179	165
"Rv2916c"	633	730	772	661	655	407
"Rv2917"	59	77	104	49	66	149
"Rv2918c"	193	215	227	234	232	237
"Rv2919c"	139	189	191	127	144	77
"Rv2920c"	102	102	94	82	64	119
"Rv2921c"	380	421	472	373	394	262
"Rv2922A"	19	30	17	13	10	11
"Rv2922c"	749	1000	1060	711	871	617
"Rv2923c"	41	57	63	29	30	43
"Rv2924c"	72	84	79	78	81	99
"Rv2925c"	307	402	385	328	363	186
"Rv2926c"	250	308	330	250	348	181
"Rv2927c"	594	753	827	760	753	736
"Rv2928"	235	171	215	193	153	148
"Rv2929"	89	92	68	63	51	35
"Rv2930"	418	575	613	408	490	373
"Rv2931"	548	708	768	536	634	734
"Rv2932"	297	424	458	303	393	430
"Rv2933"	682	883	1032	620	815	916
"Rv2934"	735	993	1077	672	753	850
"Rv2935"	892	1012	1066	783	945	820
"Rv2936"	249	295	346	305	279	278
"Rv2937"	138	119	161	112	121	102
"Rv2938"	139	152	186	181	177	138
"Rv2939"	350	376	453	376	348	232
"Rv2940c"	3001	3936	4531	2874	3559	2423
"Rv2941"	1172	1500	1601	1299	1503	829
"Rv2942"	1089	1210	1308	1119	1144	645
"Rv2943"	110	118	130	117	115	158
"Rv2943A"	0	0	0	0	0	0
"Rv2944"	49	56	48	37	25	39
"Rv2945c"	290	331	361	238	244	248
"Rv2946c"	1037	1445	1574	979	1155	811
"Rv2947c"	420	674	734	392	521	245
"Rv2948c"	656	978	1076	613	753	465
"Rv2949c"	487	541	601	411	447	240
"Rv2950c"	2188	2623	2847	1821	1953	1051
"Rv2951c"	982	955	1083	1022	955	617
"Rv2952"	287	323	358	226	260	184
"Rv2953"	617	738	804	577	684	409
"Rv2954c"	850	788	893	858	848	331
"Rv2955c"	326	297	310	267	268	161
"Rv2956"	238	271	319	247	192	177
"Rv2957"	169	111	122	133	107	84
"Rv2958c"	113	126	159	100	103	113
"Rv2959c"	182	207	228	148	146	89
"Rv2960c"	127	100	136	123	100	57
"Rv2961"	19	24	17	16	13	26
"Rv2962c"	210	223	282	203	196	170
"Rv2963"	113	99	104	96	129	114
"Rv2964"	63	68	77	57	70	93
"Rv2965c"	161	167	171	152	142	111
"Rv2966c"	127	131	117	114	114	81
"Rv2967c"	901	1169	1244	902	1123	640
"Rv2968c"	224	233	257	233	277	108
"Rv2969c"	585	631	643	579	548	426
"Rv2970A"	68	46	63	77	57	32
"Rv2970c"	547	506	578	579	543	269
"Rv2971"	307	323	302	283	253	221
"Rv2972c"	58	69	59	60	70	74
"Rv2973c"	64	83	69	68	63	155
"Rv2974c"	57	47	55	59	71	106
"Rv2975a"	218	176	149	196	114	80
"Rv2975c"	57	41	70	76	66	58
"Rv2976c"	179	173	229	187	208	98
"Rv2977c"	202	239	265	237	269	130
"Rv2978c"	137	182	204	204	222	191
"Rv2979c"	95	129	115	115	124	91
"Rv2980"	73	86	93	74	66	66
"Rv2981c"	305	354	340	298	331	251
"Rv2982c"	226	293	296	237	271	197
"Rv2983"	45	41	40	45	36	62
"Rv2984"	441	555	564	504	511	428
"Rv2985"	1219	1093	1164	1284	1213	555
"Rv2986c"	2907	2748	3229	3741	3274	2656
"Rv2987c"	251	166	210	280	196	180
"Rv2988c"	513	561	632	571	482	450
"Rv2989"	174	233	245	182	200	131
"Rv2990c"	378	400	462	428	400	182
"Rv2991"	76	54	87	67	74	69
"Rv2992c"	257	333	354	253	296	246
"Rv2993c"	177	133	154	159	134	109
"Rv2994"	254	283	309	262	224	195
"Rv2995c"	297	384	388	338	421	438
"Rv2996c"	552	681	641	563	636	416
"Rv2997"	94	109	102	87	93	114
"Rv2998"	68	60	57	62	60	77
"Rv2999"	63	104	106	62	69	93
"Rv3000"	104	114	117	120	111	167
"Rv3001c"	874	966	980	900	894	948
"Rv3002c"	180	294	258	218	202	337
"Rv3003c"	809	909	923	796	849	982
"Rv3004"	70	74	83	51	87	59
"Rv3005c"	714	914	1047	702	952	425
"Rv3006"	442	607	630	431	524	309
"Rv3007c"	146	154	146	120	120	84
"Rv3008"	118	118	113	136	116	90
"Rv3009c"	387	475	494	404	463	317
"Rv3010c"	208	248	292	226	247	186
"Rv3011c"	181	207	202	163	193	197
"Rv3012c"	14	12	15	7	14	13
"Rv3013"	37	38	46	30	38	56
"Rv3014c"	223	271	256	181	205	253
"Rv3015c"	95	117	134	82	99	146
"Rv3016"	93	105	97	106	85	82
"Rv3017c"	39	23	33	31	24	32
"Rv3018c"	23	29	20	30	17	25
"Rv3019c"	17	12	14	7	12	21
"Rv3020c"	11	12	9	3	7	16
"Rv3022A"	3	6	1	1	5	17
"Rv3023c"	9	6	10	7	11	5
"Rv3024c"	270	356	390	273	345	220
"Rv3025c"	429	555	575	417	526	297
"Rv3026c"	43	38	32	39	38	86
"Rv3027c"	63	66	62	48	57	72
"Rv3028c"	1241	1394	1430	1134	1234	642
"Rv3029c"	1552	1670	1706	1452	1258	722
"Rv3030"	134	142	131	111	117	93
"Rv3031"	198	225	270	184	237	178
"Rv3032"	151	244	240	159	179	137
"Rv3032A"	53	55	69	36	51	44
"Rv3033"	106	85	90	71	71	74
"Rv3034c"	302	285	282	300	216	129
"Rv3035"	267	327	310	247	274	171
"Rv3036c"	86	90	106	95	91	67
"Rv3037c"	76	92	93	96	110	104
"Rv3038c"	379	441	450	377	354	227
"Rv3039c"	120	145	195	126	135	81
"Rv3040c"	135	221	210	132	158	94
"Rv3041c"	166	178	195	172	184	133
"Rv3042c"	348	484	522	395	538	409
"Rv3043c"	777	988	1078	815	925	631
"Rv3044"	683	759	796	602	697	367
"Rv3045"	553	614	688	565	531	259
"Rv3046c"	119	141	142	128	135	63
