"Gene_ID"	"SRR8368679"	"SRR8368680"	"SRR8368681"	"SRR8368682"	"SRR8368683"	"SRR8368684"
"Rv1955"	37	30	24	41	25	16
"Rv1956"	30	39	46	51	47	27
"Rv1957"	40	31	35	41	21	34
"Rv1958c"	79	46	45	46	51	30
"Rv1959c"	22	39	32	33	36	17
"Rv1960c"	8	13	12	9	14	11
"Rv1961"	54	51	66	58	54	42
"Rv1962A"	40	39	43	40	42	28
"Rv1962c"	95	108	106	87	79	50
"Rv1963c"	90	85	108	95	101	124
"Rv1964"	19	30	29	35	45	43
"Rv1965"	15	20	36	15	31	49
"Rv1966"	21	32	34	19	45	79
"Rv1967"	19	31	37	22	34	65
"Rv1968"	12	19	18	12	17	66
"Rv1969"	47	46	51	35	32	76
"Rv1970"	35	40	50	20	36	64
"Rv1971"	29	38	37	23	35	96
"Rv1972"	17	15	17	15	15	27
"Rv1973"	11	11	13	12	12	17
"Rv1974"	7	14	17	7	9	23
"Rv1975"	81	63	78	68	99	52
"Rv1976c"	91	109	89	72	79	54
"Rv1977"	245	282	269	213	271	166
"Rv1978"	99	97	103	94	85	79
"Rv1979c"	549	473	535	476	495	225
"Rv1980c"	1084	1153	1385	1158	1067	367
"Rv1981c"	244	304	396	273	287	346
"Rv1982A"	6	5	29	14	9	20
"Rv1982c"	46	36	30	50	43	38
"Rv1983"	314	372	418	316	375	167
"RV1984a"	43	51	49	47	42	33
"Rv1984c"	144	157	143	157	160	132
"Rv1985c"	50	48	64	61	58	81
"Rv1986"	123	123	104	528	514	363
"Rv1987"	453	428	487	682	564	283
"Rv1988"	211	254	302	223	218	102
"Rv1989c"	100	131	135	117	131	73
"Rv1990c"	71	99	96	85	115	63
"Rv1991A"	17	22	17	17	25	22
"Rv1991c"	48	53	73	55	49	33
"Rv1992c"	301	376	342	271	391	266
"Rv1993c"	32	37	40	36	28	19
"Rv1994c"	33	52	40	43	44	38
"Rv1995"	26	25	37	28	23	49
"Rv1996"	41	153	246	39	120	204
"Rv1997"	63	99	112	67	76	201
"Rv1998c"	69	59	92	70	70	77
"Rv1999c"	2	16	12	4	8	55
"Rv2000"	54	69	82	72	58	100
"Rv2001"	54	73	66	66	48	40
"Rv2002"	149	188	235	137	127	123
"Rv2003c"	69	80	79	55	66	93
"Rv2004c"	90	136	139	99	150	148
"Rv2005c"	143	212	230	182	226	147
